S.No,Developer,Project Name,Location (Sector / Area),Project Type,Status,RERA No.,Area (Acres),Towers,Units,Configuration,Unit Size Range,Price Range (approx.),Possession / Completion,Key Amenities / Features,Notes
12,Bhutani Group,Bhutani Alphathum,"Sector 90, Noida",Commercial,Completed,,,3,,"IT offices, retail, food court",,,,"LEED Gold rated; ~53,000 sq ft floor plates; inspired by Singapore architecture",
13,Bhutani Group,Bhutani Cyberthum,"Sector 140A, Noida",Commercial,Completed,,,,,"Office, retail, food court, co-working",,,,,
14,Bhutani Group,Bhutani Grandthum,Noida Extension / Greater Noida West,Commercial,Completed,,,,,"Retail, office, co-working, food court",,,,"Anchor brands: Allen Solly, Pantaloons, Miraj Cinemas, Reebok, Tata Westside, Van Heusen",Co-branded with Group 108
15,Bhutani Group,Bhutani Avenue 62,"Sector 62, Noida",Commercial,Completed,,,,,Retail,,,,5 Lacs+ footfall potential; only retail destination in Sector 62,Interior waterfall (25m)
16,Bhutani Group,Bhutani Experience,"Sector 32, Noida",Residential (studio),Completed,,,,286,Studio (0 BHK),726-1141 sq ft,,,"Fully furnished, pre-leased 5-star studios",20 floors
17,Bhutani Group,Bhutani City Center 150,"Sector 150, Noida",Commercial,Ongoing,,,,,"High-street retail, entertainment",,,,,
18,Group 108,iThum,"Sector 62, Noida",Commercial,Completed,,,,,,,,,"Flagship commercial project cited alongside Parmesh Complex, Delhi",
19,Group 108,Grandthum,Greater Noida West,Mixed (Residential + Commercial),Ongoing,,,,,Residential + commercial,,,,Co-developed under Bhutani/Group 108 branding,
20,Group 108,One FNG,"Sector 142, Noida",Commercial,Upcoming,UPRERAPRJ279516,14.46,,,"Office, retail",,"From ₹60,00,000",~2028,Adjoins Advant Tower & Noida Metro Sector 142 station,Leasehold
21,Gulsan Group,Gulshan Dynasty,Greater Noida West / Noida,Residential,Ongoing,,,,,,,,Possession available soon,Flagship luxury development,Nearing completion
22,Gulsan Group,Gulshan Avante,Greater Noida West,Residential,Ongoing,,,,,4-bedroom luxury concept,,,,,
23,Gulsan Group,Gulshan Bellina,"Sector 16, Greater Noida",Residential,Completed,,,,,2/3 BHK,,,Ready to move,"Central lawn, open-air theatre, yoga/meditation decks, gym, pool",36-year legacy brand
24,Gulsan Group,Gulshan Botnia,"Sector 144, Noida",Residential,Completed,,,,,2/3 BHK,,,,,
25,Gulsan Group,Gulshan Botnia Phase 2,"Sector 144, Noida",Residential,Upcoming,,,,,2/3 BHK,,,,"Clubhouse, jogging track, indoor games, rainwater harvesting, solar lighting",
26,Gulsan Group,Gulshan Vivante,"Sector 137, Noida",Residential,Completed,,,,,2/3 BHK,,,,"Clubhouse, pool, landscaped gardens",
27,Gulsan Group,Gulshan Ikebana,"Sector 143, Noida",Residential,Completed,,,,,,,,,,
28,Gulsan Group,Gulshan One29,"Sector 129, Noida Expressway",Commercial,Completed,,,,,,,,,One of Gulshan's prime commercial projects,
29,ATS,ATS One Hamlet,"Sector 50, Noida",Residential,Completed,,14.5,,352,3/4 BHK,1636-3115 sq ft,,,,IRR of 54% recorded on an early ASK Group exit
30,ATS,ATS Greens II,"Sector 50, Noida",Residential,Completed,,,,,,,,Ready to move,,
31,ATS,ATS Pristine Phase 2,"Sector 150, Noida",Residential,Ongoing,,,,113,Luxury apartments,,,,Connected to Noida-Greater Noida & Yamuna Expressways,
32,ATS,ATS Dolce Phase 2,"Sector Zeta-1, Greater Noida West",Residential,Ongoing,,,,,,,,,New phase recently launched,
33,ATS,ATS Destinaire,"Sector 1, Greater Noida West",Residential,Ongoing,,4.78 (forest area),,,3/4 BHK (HIG),1900-2550 sq ft,,,Miyawaki-technique forest area; low-density living,
34,ATS,ATS Homekraft Happy Trails,Greater Noida,Residential,Completed,,,,,2/3 BHK,,,,Gated society,
35,ATS,ATS Dolce,"Sector Zeta-1, Greater Noida",Residential,Completed,,14,,,2/3/4 BHK,1240-2800 sq ft,,,7 km from Pari Chowk; near Knowledge Park & Taj Yamuna Expressway,
36,ATS,ATS Allure,"Yamuna Expressway, Greater Noida",Residential,Completed,,,,,2/3 BHK,,,Completed March 2021,88.62K sq m central park,Low-density lifestyle homes
37,Experion Group,Experion Elements,Central Noida (Sector 45 area),Residential,Ongoing,UPRERAPRJ953234 (Ph.II),,,,,,,,Grand Cineplex with large 4K LED screen & Dolby; EV charging per unit,Building plan approved Jan 2024
38,Experion Group,Experion Saatori / Sector 151,"Sector 151, Noida",Residential,Upcoming,,5,,,3/4 BHK,,,Soft launch; RERA registration underway,"Clubhouse, pool, gym, sports courts, smart home automation",
39,Godrej Group,Godrej Golf Links (Exquisite / Windsor / Park Avenue / The Suites / Evoke),"Sector 27, Greater Noida",Residential,Completed,,,,Windsor 114; Park Avenue 1158; The Suites 176,"2-4 BHK, villas (Evoke)",,,,Township within Godrej Golf Links; 4-6 km from Noida-GN & Yamuna Expressways,
40,Godrej Group,Godrej Arden,"Sigma 3, Greater Noida",Residential,Ongoing,,9.58,9,956,2/3/4 BHK,730-1547 sq ft,,,,
41,Godrej Group,Godrej Majesty,"Sector 12, Greater Noida West",Residential,Upcoming,,8,,,3/4 BHK,1754-2575 sq ft,From ₹2.91 Cr,,Massive clubhouse; green living focus,Newly launched
42,Godrej Group,Godrej Woods,"Sector 43, Noida",Residential,Ongoing,UPRERAPRJ13521,,,,,,,Final phases by Jan 2027,,Forest-themed; partially ready
43,Godrej Group,Godrej Tropical Isle,"Sector 146, Noida",Residential,Upcoming,UPRERAPRJ303390,6.17,5,,3/4 BHK,1800-3250 sq ft,From ₹3.26 Cr,Launched late 2023; possession Feb 2030,"Floating clubhouse, beach decks (island theme)",
44,Godrej Group,Godrej Palm Retreat 2,"Sector 150, Noida",Residential,Ongoing,,,,385,,,,,,
45,Godrej Group,Godrej Nurture Phase 2,"Sector 150, Noida",Residential,Ongoing,,,,456,Affordable housing,,,,,
46,GYGY Group,GYGY Mentis,"Sector 140, Noida",Commercial,Ongoing,UPRERAPRJ251909,4.94-6 (sources vary),3,24+,"IT offices, retail, food court, anchor shops",100-535 sq ft,₹29.00L-42.80L,Expected March 2028,"Swimming pool, gym, clubhouse, sky bar, cafe",24 floors per tower; up to 12% assured returns cited
47,GYGY Group,GYGY FiveO,"Sector 50, Noida",Commercial,Ongoing,,,,,"Studio spaces, retail, cafes, restaurants, entertainment",,,,Near multiple metro stations,
48,EON Group,Fairfox EON (Eye of Noida),"Sector 140A, Noida",Commercial,Ongoing,UPRERAPRJ211016 (Block-A),13.65,4,,"Office spaces, retail shops, anchor spaces, food court, sky bar",,Office from ~₹55L; Retail from ~₹87L,,IGBC Gold rated; sustainable design,15 floors per tower; developer: Fairfox IT Infra
49,CRC Group,The Peridona,"Jaypee Greens Golf Course, Greater Noida",Residential,Upcoming,,,,,Ultra-luxury experiential residences,,,,,Development outlay ~₹15 billion (excl. land); unveiled July 2025
50,Purvanchal Group,Purvanchal Royal City Phase I,"Sector Chi-5, Greater Noida",Residential,Completed,UPRERAPRJ3137,13.8,17 (combined w/ Ph.2),,"3/4/5 BHK, duplexes",1735-2075 sq ft (3BHK),₹1.80-3.34 Cr,Launched Jun 2015; possession by Mar 2019,"100,000 sq ft clubhouse, 2 pools, gym, mini theatre, yoga zones",Brick construction
51,Purvanchal Group,Purvanchal Royal City Phase II,"Sector Chi-5, Greater Noida",Residential,Completed,UPRERAPRJ295195,8.8,,,3 BHK & 3BHK+1,,,Started Feb 2019; delivered Dec 2023,"Mivan technology construction; 3,703 parking spaces; ~70% open area",22 acres combined with Phase I
52,Purvanchal Group,Purvanchal Silver City II,Greater Noida,Residential,Completed,,,,,,,,,,
53,Purvanchal Group,Purvanchal Heights,Greater Noida,Residential,Completed,,,,,,,,,,
54,Purvanchal Group,Purvanchal Royal City II,"Sector Chi-V, Yamuna Expressway, Greater Noida",Residential,Ongoing,UPRERAPRJ295195,,,1226,,,₹1.14 Cr,,,Construction status: Mid Stage
55,ABA Corp,Orange County,Noida,Residential,Completed,,,,,,,,,Flagship delivered project,
56,ABA Corp,Cleo County,"Sector 121, Noida",Residential,Completed,,,,,3/4 BHK,,,,"Clubhouse, swimming pool, landscaped gardens","Rainwater harvesting, energy-efficient systems"
57,ABA Corp,Cherry County,Greater Noida West,Residential,Ongoing,,,,,2/3/4 BHK,891-2232 sq ft,,,,30-year legacy brand; also delivered Orange County & Cleo County
58,ACE Group,ACE City / ACE Aspire / ACE Golfshire,Greater Noida,Residential,Completed,,,,,,,,,Delivered projects,
59,ACE Group,ACE Palm Floors,Gurugram,Residential,Completed,RC/REP/HARERA/GGM/439-449/2021,50,,,Plots & floors,,,,,50-acre township
60,ACE Group,ACE Divino,"Sector 1, Greater Noida West",Residential,Completed,UPRERAPRJ6734,10.41,,,"2/3/4 BHK, garden floors, penthouses",,,,75%+ open green space; MIVAN technology; 3-sided open plot,Financed by Tata Capital Housing Finance
61,ACE Group,ACE Parkway,Greater Noida,Residential,Completed,UPRERAPRJ4514,,,,,,,,,Designed by Hafeez Contractor; interiors by Gauri Khan
62,ACE Group,ACE Starlit,"Sector 152, Noida",Residential,Completed,UPRERAPRJ677294,6.79,5,492,2/3 BHK,,2BHK from ₹1.25 Cr,,80% green area; corner plot,5 towers of 26 floors each; ready to move
63,ACE Group,ACE Terra,Noida / Greater Noida,Residential,Ongoing,UPRERAPRJ683816,,,,,,,,,
64,ACE Group,ACE Han'ei,Noida / Greater Noida,Residential,Ongoing,UPRERAPRJ677887,,,,,,,,,
65,ACE Group,ACE Estate,Noida / Greater Noida,Residential,Ongoing,UPRERAPRJ442226,,,,,,,,,
66,ACE Group,ACE Acreville,"Yamuna Expressway, Greater Noida",Residential,Upcoming,UPRERAPRJ248777,,,,,,,,,RERA registered March 2025
67,ACE Group,ACE Verde,"Sector 22A, Yamuna Expressway, Greater Noida",Residential,Upcoming,UPRERAPRJ913692,8,7,1287,3 BHK,From 1818 sq ft,,,"Low-density, 7 towers",RERA registered March 2025
68,ACE Group,ACE-Mahagun Medalleo,Noida / Greater Noida,Residential,Ongoing,UPRERAPRJ125561,,,,,,,,,
69,ACE Group,ACE Hive,"Sector 22A, Yamuna Expressway",Commercial,Upcoming,UPRERAPRJ939595,,,,,,,,,RERA registered March 2025
70,ACE Group,ACE YXP,"Sector 22D, Yamuna Expressway",Commercial,Ongoing,UPRERAPRJ397607,,,,,,,,Near Jewar International Airport,
71,ACE Group,ACE 153,"Sector 153, Noida",Commercial,Ongoing,UPRERAPRJ423807,,,,,,,,,
72,ACE Group,ACE Capitol,"Sector 132, Noida Expressway",Commercial,Ongoing,,,,,,,,,,
73,ACE Group,ACE Edit,Noida / Greater Noida,Commercial,Ongoing,UPRERAPRJ467686,,,,,,,,,RERA registered Sept 2025
74,ACE Group,ACE Medley Avenue,Noida / Greater Noida,Commercial,Completed,UPRERAPRJ348653,,,,,,,,,
75,Prestige Group,"Prestige Sector 150, Noida Expressway","Sector 150, Noida",Residential,Upcoming,,14.83,,,2/3/4 BHK,1300-5200 sq ft,,,,First Prestige Group project in Noida
76,Prestige Group,"Prestige Sector 62, Noida","Sector 62, Noida",Residential,Upcoming,,,,,,,,,,Announced new launch
77,Gaursons Group,Gaur City (Sector 4),"Sector 4, Greater Noida West",Residential,Completed,,125,,,2 BHK,1075-1165 sq ft,₹40.31L-43.68L,,,Flagship township
78,Gaursons Group,Gaur City 2 - 14th Avenue,Greater Noida West,Residential,Ongoing,UPRERAPRJ6742,,,,2/3 BHK,,From ₹95L,,,
79,Gaursons Group,Gaur City - 7th Avenue,Greater Noida West,Residential,Ongoing,UPRERAPRJ6695,,,,2/3 BHK,,From ₹90L,,,
80,Gaursons Group,"Gaur Yamuna City (16th/32nd Park View, Villas)",Yamuna Expressway,Residential,Ongoing,,,,,"Apartments, villas, independent floors",,,,,Supreme Court monitored housing project
81,Gaursons Group,Gaur Atulyam,"Techzone 4, Greater Noida",Residential,Ongoing,,,,,,,,,,
82,Gaursons Group,Gaur City Center,Greater Noida West,Commercial,Ongoing,UPRERAPRJ4780,,,,Residential + retail,,From ₹45L,,,
83,Gaursons Group,Gaur City Mall (Office Spaces / Gaur Suites),"Gaur Chowk, Greater Noida West",Commercial,Ongoing,UPRERAPRJ6934,,,,"Office space, serviced suites",,Office from ₹25L; Suites from ₹62L,,,
84,Gaursons Group,Gaur Chowk Mall,Greater Noida West,Commercial,Ongoing,UPRERAPRJ6934,,,,Retail (leasing),,,,,Leasing option available
85,Gaursons Group,Gaur Green City / Heights / Green Avenue / Green Vista / Homes / Ganga / Grandeur / Global Village / Cascades,Noida / Ghaziabad / Greater Noida,Residential,Completed,,,,,,,,,,Delivered legacy portfolio (65+ projects delivered group-wide)
